user_id,name,email,age
550e8400-e29b-41d4-a716-446655440001,John Smith,john.smith@email.com,28
550e8400-e29b-41d4-a716-446655440002,Sarah Johnson,sarah.johnson@gmail.com,34
550e8400-e29b-41d4-a716-446655440003,Michael Brown,m.brown@yahoo.com,42
550e8400-e29b-41d4-a716-446655440004,Emily Davis,emily.davis@hotmail.com,29
550e8400-e29b-41d4-a716-446655440005,David Wilson,david.wilson@outlook.com,37
550e8400-e29b-41d4-a716-446655440006,Jessica Miller,jessica.miller@gmail.com,31
550e8400-e29b-41d4-a716-446655440007,Christopher Garcia,c.garcia@email.com,45
550e8400-e29b-41d4-a716-446655440008,Amanda Rodriguez,amanda.r@yahoo.com,26
550e8400-e29b-41d4-a716-446655440009,Matthew Martinez,matt.martinez@gmail.com,39
550e8400-e29b-41d4-a716-446655440010,Ashley Anderson,ashley.anderson@hotmail.com,33
